Iterasi,PC,Interpretasi,Max Selisih,Sangat Rendah,Rendah,Sedang,Tinggi,Sangat Tinggi
1,0.200881,Buruk,0.450994,48,103,0,43,59
2,0.202183,Buruk,0.024461,78,115,7,0,53
3,0.205793,Buruk,0.097767,85,0,115,0,53
4,0.215052,Buruk,0.058965,85,0,115,0,53
5,0.236275,Buruk,0.115035,85,0,114,0,54
6,0.280229,Buruk,0.204771,85,0,68,0,100
7,0.353124,Buruk,0.638951,85,68,0,53,47
8,0.424864,Cukup,0.351081,83,68,2,47,53
9,0.512071,Cukup,0.740707,80,68,47,5,53
10,0.559847,Cukup,0.849858,73,68,47,53,12
11,0.565179,Cukup,0.159617,52,68,47,53,33
12,0.579629,Cukup,0.205500,48,68,47,53,37
13,0.604119,Baik,0.188760,49,68,47,53,36
14,0.618729,Baik,0.081818,50,68,47,53,35
15,0.622854,Baik,0.034383,50,68,47,53,35
16,0.623723,Baik,0.016626,50,68,47,53,35
17,0.623842,Baik,0.009165,50,68,47,53,35
18,0.623811,Baik,0.004963,50,68,47,53,35
19,0.623767,Baik,0.002669,50,68,47,53,35
20,0.623736,Baik,0.001430,50,68,47,53,35
21,0.623717,Baik,0.000765,50,68,47,53,35
22,0.623706,Baik,0.000409,50,68,47,53,35
23,0.623700,Baik,0.000218,50,68,47,53,35
24,0.623696,Baik,0.000117,50,68,47,53,35
25,0.623694,Baik,0.000062,50,68,47,53,35
